order_item_id,order_id,product_id,quantity,unit_price
1,1,12,2,34.0
2,2,9,1,139.0
3,2,14,3,179.0
4,2,15,1,89.0
5,2,3,1,159.0
6,3,7,3,449.0
7,3,2,1,229.0
8,4,11,2,59.0
9,4,10,2,39.0
10,4,14,1,179.0
11,4,9,3,139.0
12,5,3,2,159.0
13,5,11,2,59.0
14,5,14,1,179.0
15,5,5,1,139.0
16,6,2,3,229.0
17,7,15,1,89.0
18,7,6,1,129.0
19,8,14,3,179.0
20,8,9,3,139.0
21,8,12,3,34.0
22,8,5,1,139.0
23,9,15,1,89.0
24,10,12,3,34.0
25,11,12,1,34.0
26,11,6,3,129.0
27,12,15,1,89.0
28,12,14,3,179.0
29,12,1,2,349.0
30,13,13,2,69.0
31,13,3,1,159.0
32,13,11,3,59.0
33,14,9,3,139.0
34,14,1,1,349.0
35,14,2,3,229.0
36,14,13,1,69.0
37,15,1,2,349.0
38,15,5,1,139.0
39,16,11,2,59.0
40,16,2,3,229.0
41,17,15,1,89.0
42,17,4,1,189.0
43,18,13,3,69.0
44,18,7,3,449.0
45,18,15,1,89.0
46,19,7,1,449.0
47,20,6,1,129.0
48,20,5,1,139.0
49,20,13,3,69.0
50,20,4,1,189.0
51,21,13,2,69.0
52,22,1,1,349.0
53,22,2,3,229.0
54,22,5,2,139.0
55,23,6,2,129.0
56,23,12,3,34.0
57,23,13,3,69.0
58,23,15,1,89.0
59,24,5,3,139.0
60,24,1,2,349.0
61,25,6,1,129.0
62,25,7,3,449.0
63,26,12,2,34.0
64,27,6,3,129.0
65,27,7,1,449.0
66,27,12,1,34.0
67,27,5,2,139.0
68,28,10,2,39.0
69,28,15,2,89.0
70,29,7,3,449.0
71,29,13,3,69.0
72,30,11,3,59.0
73,30,4,1,189.0
74,30,9,3,139.0
75,30,8,1,79.0
76,31,2,1,229.0
77,31,14,3,179.0
78,31,13,2,69.0
79,32,1,1,349.0
80,32,15,2,89.0
81,33,12,2,34.0
82,33,15,2,89.0
83,34,15,1,89.0
84,35,1,2,349.0
85,35,9,1,139.0
86,35,4,2,189.0
87,35,2,3,229.0
88,36,13,3,69.0
89,36,8,3,79.0
90,36,10,2,39.0
91,37,12,2,34.0
92,37,14,2,179.0
93,38,13,2,69.0
94,38,15,3,89.0
95,38,9,1,139.0
96,39,4,2,189.0
97,39,5,3,139.0
98,39,6,1,129.0
99,40,12,1,34.0
100,40,3,2,159.0
101,40,15,2,89.0
102,40,4,2,189.0
103,41,14,2,179.0
104,41,7,3,449.0
105,42,8,2,79.0
106,42,1,2,349.0
107,42,6,3,129.0
108,42,5,3,139.0
109,43,8,2,79.0
110,43,4,2,189.0
111,44,11,2,59.0
112,44,15,3,89.0
113,44,13,1,69.0
114,45,15,2,89.0
115,46,11,2,59.0
116,47,1,2,349.0
117,47,5,2,139.0
118,48,13,2,69.0
119,48,7,2,449.0
120,48,5,1,139.0
121,49,6,1,129.0
122,50,13,1,69.0
123,51,4,2,189.0
124,51,3,3,159.0
125,52,8,2,79.0
126,52,12,2,34.0
127,53,5,3,139.0
128,53,2,1,229.0
129,54,7,3,449.0
130,54,12,3,34.0
131,54,4,3,189.0
132,54,2,1,229.0
133,55,13,3,69.0
134,56,2,2,229.0
135,56,9,1,139.0
136,56,11,2,59.0
137,57,11,3,59.0
138,57,14,1,179.0
139,57,8,2,79.0
140,58,10,2,39.0
141,58,13,2,69.0
